"Source Row","Tier","Institution","Crawler Hub","Directory"
"73","","University of Iowa","https://medicine.uiowa.edu/","https://iam.uiowa.edu/whitepages/search"
"74","Tier 3+","University at Buffalo","https://medicine.buffalo.edu/","DIRECTORY NOT AVAILABLE"
"75","Tier 3+","UC Davis","https://health.ucdavis.edu/","https://directory.ucdavis.edu/"
"76","Tier 2","Rush University","https://www.rushu.rush.edu/","https://doctors.rush.edu/"
"77","Tier 1","University of Virginia","https://med.virginia.edu/","DIRECTORY NOT AVAILABLE"
"78","Tier 3+","Wake Forest University","https://school.wakehealth.edu/","DIRECTORY NOT AVAILABLE"
"79","Tier 3+","USF","https://health.usf.edu/medicine/","DIRECTORY NOT AVAILABLE"
"80","Tier 3+","Hackensack Meridian Health","https://www.hackensackmeridianhealth.org/","https://doctors.hackensackmeridianhealth.org/"
"81","Tier 3+","University of Louisville","https://louisville.edu/medicine/","https://louisville.edu/directory/"
"82","Tier 3+","UC Irvine","https://medschool.uci.edu/","https://directory.uci.edu/"
"83","Tier 1","University of New Mexico","https://hsc.unm.edu/medicine/","https://directory.unm.edu/public/"
"84","Tier 3+","Loyola University","https://www.loyolamedicine.org/","DIRECTORY NOT AVAILABLE"
"85","Tier 2","Penn State","https://med.psu.edu/","https://directory.psu.edu/"
"86","","Prisma Health","https://www.prismahealth.org/","https://doctors.prismahealth.org/"
"87","","NYC Health","https://www.nychealthandhospitals.org/","https://www.nychealthandhospitals.org/doctors/"
"88","Tier 3+","SUNY at Stony Brook","https://renaissance.stonybrookmedicine.edu/","https://www.stonybrook.edu/search/people/"
"89","Tier 2","Temple University Hospital","https://medicine.temple.edu/","DIRECTORY NOT AVAILABLE"
"90","","Ascension Health","https://healthcare.ascension.org/","https://healthcare.ascension.org/find-care"
"91","Tier 1","University of Cincinnati","https://www.med.uc.edu/","DIRECTORY NOT AVAILABLE"
"92","Tier 2","SUNY Upstate","https://www.upstate.edu/gme/","DIRECTORY NOT AVAILABLE"
"93","","UTMB","https://www.utmb.edu/","DIRECTORY NOT AVAILABLE"
"94","","University of Mississippi","https://www.umc.edu/","DIRECTORY NOT AVAILABLE"
"95","Tier 3+","Boston University","https://www.bumc.bu.edu/","https://www.bu.edu/directory/"
"96","","University of Nebraska","https://www.unmc.edu/","https://nebraska.edu/directory"
"97","","University of Connecticut","https://health.uconn.edu/","https://phonebook.uconn.edu/"
"98","","National Capital Consortium","https://medschool.usuhs.edu/","DIRECTORY NOT AVAILABLE"
"99","","St. Louis University","https://www.slu.edu/medicine/","DIRECTORY NOT AVAILABLE"
"101","","University of Massachusetts","https://www.umassmed.edu/","https://www.umassmed.edu/directory/"
"102","","Advocate Health","https://www.advocatehealth.com/","https://www.advocatehealth.com/find-a-doctor"
"103","Tier 3+","UMKC","https://med.umkc.edu/","https://net3.umkc.edu/intapps/lookup"
"104","Tier 3+","Creighton University","https://www.creighton.edu/medicine/","DIRECTORY NOT AVAILABLE"
"105","","Naval Medical Center","https://health.mil/","DIRECTORY NOT AVAILABLE"
"106","","SAUSHEC","https://health.mil/","DIRECTORY NOT AVAILABLE"
"107","Tier 3+","Mercy Health","https://www.mercyhealth.com/","DIRECTORY NOT AVAILABLE"
"108","Tier 3+","University of Missouri","https://medicine.missouri.edu/","DIRECTORY NOT AVAILABLE"
"109","","West Virginia University","https://medicine.hsc.wvu.edu/","https://directory.hsc.wvu.edu/"
